d R_spp
111.965 0.9535159313532647
112.965 0.9548112341208048
113.965 0.9560585601401026
114.96499999999999 0.9572596725237268
115.965 0.9584162710747713
116.965 0.9595299943978692
117.965 0.9606024219580431
118.965  0.961635076086517
119.96499999999999 0.9626294239328618
120.965 0.9635868793632433
121.965 0.9645088048047268
122.96499999999997 0.9653965130358425
123.965 0.9662512689238144
124.96499999999999 0.9670742911089493
125.96499999999999 0.9678667536369561
126.96499999999999 0.9686297875398929
127.96499999999999  0.969364482366706
128.96499999999997  0.970071887664304
129.96499999999997 0.9707530144101691
130.96499999999997 0.9714088363976567
131.96499999999997 0.9720402915750104
132.965 0.9726482833393282
133.965 0.9732336817865688
134.965 0.9737973249188524
135.965 0.9743400198101448
136.96499999999997 0.9748625437316345
137.96499999999997 0.9753656452378409
138.96499999999997 0.9758500452147597
139.96499999999997 0.9763164378910894
140.96499999999997 0.9767654918137674
141.96499999999997 0.9771978507888911
142.965 0.9776141347891407
143.965 0.9780149408288119
144.965 0.9784008438074825
145.96499999999997 0.9787723973233661
146.96499999999997  0.979130134457405
147.96499999999997 0.9794745685289855
148.96499999999997 0.9798061938243748
149.96499999999997 0.9801254862987199
150.96499999999997 0.9804329042525243
151.96499999999997 0.9807288889835359
152.965 0.9810138654148508
153.965 0.9812882427001445
154.965  0.981552414806678
155.96499999999997 0.9818067610771015
156.96499999999997 0.9820516467705436
157.96499999999997 0.9822874235839627
158.96499999999997 0.9825144301542832
159.96499999999997 0.9827329925421148
160.96499999999997  0.982943424697682
161.96499999999997 0.9831460289095809
162.965  0.983341096237044
163.965 0.9835289069262382
164.965 0.9837097308112135
165.96499999999997 0.9838838277000987
166.96499999999997 0.9840514477469706
167.96499999999997 0.9842128318100412
168.96499999999997  0.984368211796595
169.96499999999997 0.9845178109951586
170.96499999999997 0.9846618443953873
171.96499999999997 0.9848005189961421
172.965 0.9849340341021389
173.965 0.9850625816096177
174.965 0.9851863462814454
175.96499999999997 0.9853055060120216
176.96499999999997  0.985420232082354
177.96499999999997 0.9855306894057234
178.96499999999997  0.985637036764183
179.96499999999997 0.9857394270363464
180.96499999999997 0.9858380074166779
181.96499999999997  0.985932919626712
182.965 0.9860243001183479
183.965 0.9861122802697092
184.96499999999997 0.9861969865736369
185.96499999999997  0.986278540819271
186.96499999999997 0.9863570602668128
187.96499999999997 0.9864326578158831
188.96499999999997 0.9865054421675512
189.96499999999997 0.9865755179804145
190.96499999999997 0.9866429860208299
191.965 0.9867079433076108
192.965 0.9867704832513224
193.965 0.9868306957884083
194.96499999999997 0.9868886675103454
195.96499999999997 0.9869444817879889
196.96499999999997 0.9869982188913057
197.96499999999997  0.987049956104671
198.96499999999997 0.9870997678378377
199.96499999999997  0.987147725732856
200.96499999999997 0.9871938987669411
201.965 0.9872383533515775
202.965  0.987281153427911
203.965 0.9873223605586147
204.96499999999997 0.9873620340163015
205.96499999999997 0.9874002308687236
206.96499999999997 0.9874370060607287
207.96499999999997  0.987472412493206
208.96499999999997 0.9875065010991112
209.96499999999997 0.9875393209166445
210.96499999999997 0.9875709191596972
211.965   0.98760134128572
212.965 0.9876306310610338
213.96499999999997 0.9876588306237146
214.96499999999997 0.9876859805441756
215.96499999999997 0.9877121198834362
216.96499999999997 0.9877372862492954
217.96499999999997 0.9877615158503581
218.96499999999997 0.9877848435480806
219.96499999999997 0.9878073029068863
